coin,timeframe,period,bars,st1_period,st1_mult,st2_period,st2_mult,settings,sl,rr,target,risk,num_trades,win_rate,total_net_profit,ending_capital,return_pct,max_drawdown_pct,profit_factor,expectancy,avg_win,avg_loss,exposure_pct
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,10,2.0,12,2.0,"ST1(10,2.0)+ST2(12,2.0)",1.5%,1:3,4.5%,1%,86,47.67,1230.49,11230.49,12.3,8.51,1.29,14.31,133.18,-93.99,62.31
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,14,2.0,12,3.0,"ST1(14,2.0)+ST2(12,3.0)",1.5%,1:3,4.5%,1%,76,46.05,1228.47,11228.47,12.28,6.24,1.33,16.16,141.45,-90.79,57.47
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,12,3.0,14,2.0,"ST1(12,3.0)+ST2(14,2.0)",1.5%,1:3,4.5%,1%,76,46.05,1228.47,11228.47,12.28,6.24,1.33,16.16,141.45,-90.79,57.47
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,10,2.0,7,4.0,"ST1(10,2.0)+ST2(7,4.0)",1.5%,1:3,4.5%,1%,73,45.21,1222.7,11222.7,12.23,9.83,1.33,16.75,148.99,-92.35,52.46
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,7,4.0,10,2.0,"ST1(7,4.0)+ST2(10,2.0)",1.5%,1:3,4.5%,1%,73,45.21,1222.7,11222.7,12.23,9.83,1.33,16.75,148.99,-92.35,52.46
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,14,2.0,12,2.0,"ST1(14,2.0)+ST2(12,2.0)",1.5%,1:3,4.5%,1%,81,48.15,1220.92,11220.92,12.21,8.76,1.3,15.07,134.0,-95.36,62.1
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,12,2.0,14,2.0,"ST1(12,2.0)+ST2(14,2.0)",1.5%,1:3,4.5%,1%,81,48.15,1220.92,11220.92,12.21,8.76,1.3,15.07,134.0,-95.36,62.1
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,14,3.0,7,3.0,"ST1(14,3.0)+ST2(7,3.0)",1.5%,1:3,4.5%,1%,84,46.43,1217.98,11217.98,12.18,6.61,1.29,14.5,140.31,-94.54,59.0
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,7,3.0,14,3.0,"ST1(7,3.0)+ST2(14,3.0)",1.5%,1:3,4.5%,1%,84,46.43,1217.98,11217.98,12.18,6.61,1.29,14.5,140.31,-94.54,59.0
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,10,2.0,14,4.0,"ST1(10,2.0)+ST2(14,4.0)",1.5%,1:3,4.5%,1%,72,43.06,1211.8,11211.8,12.12,6.76,1.32,16.83,160.08,-91.48,51.1
SOL/INR,30m,2026-07-25 to 2026-09-24 (60D),2872,14,4.0,10,2.0,"ST1(14,4.0)+ST2(10,2.0)",1.5%,1:3,4.5%,1%,72,43.06,1211.8,11211.8,12.12,6.76,1.32,16.83,160.08,-91.48,51.1
